readsite,tagsite,distance_km
tucson_1_F,tucson_1_F,0
tucson_2_F,tucson_1_F,15.31695547
tucson_3_F,tucson_1_F,6.74737742
tucson_4_F,tucson_1_F,2.89098296
huachuca_1_F,tucson_1_F,110.8119796
tucson_5_F,tucson_1_F,24.68860784
tucson_6_F,tucson_1_F,38.26469392
coronado,tucson_1_F,116.5776929
huachuca_2_F,tucson_1_F,106.9308236
huachuca_3_F,tucson_1_F,115.5401403
huachuca_4_F,tucson_1_F,83.39786278
organ_pipe,tucson_1_F,184.1168096
rincon,tucson_1_F,18.27423125
big_hatchet,tucson_1_F,237.8247806
silver_city_2_F,tucson_1_F,250.8382726
peloncillo_1_F,tucson_1_F,184.1073802
silver_city_1_F,tucson_1_F,244.2885813
silver_city_3_F,tucson_1_F,243.9587077
fort_huachuca,tucson_1_F,89.1669398
chiricahua_1_F,tucson_1_F,140.7808126
chiricahua_2_F,tucson_1_F,158.3830683
huachuca_5_F,tucson_1_F,105.4324969
silver_city_4_F,tucson_1_F,235.27338
cdmx_1_F,tucson_1_F,1422.009007
cdmx_3_F,tucson_1_F,1438.214736
cdmx_2_F,tucson_1_F,1438.001287
azedon,tucson_1_F,910.5839317
carmen,tucson_1_F,696.1546368
chivato,tucson_1_F,917.1229806
gitana,tucson_1_F,916.4967596
la_capilla,tucson_1_F,967.9803215
las_cuevas,tucson_1_F,977.5664969
pinacate,tucson_1_F,262.3315602
juxtlahuaca,tucson_1_F,2020.199422
navachiste,tucson_1_F,772.564825
atoyac,tucson_1_F,1545.493084
mariana,tucson_1_F,299.9228878
organ_pipe_1_h2o,tucson_1_F,183.1809925
organ_pipe_2_h2o,tucson_1_F,198.5031703
organ_pipe_satellite,tucson_1_F,196.568304
organ_pipe_3_h2o,tucson_1_F,180.848702
don_panchito,tucson_1_F,1524.831084
tucson_1_F,tucson_2_F,15.31695547
tucson_2_F,tucson_2_F,0
tucson_3_F,tucson_2_F,13.26524234
tucson_4_F,tucson_2_F,15.69259175
huachuca_1_F,tucson_2_F,95.57403854
tucson_5_F,tucson_2_F,31.43892765
tucson_6_F,tucson_2_F,48.21225098
coronado,tucson_2_F,101.2715767
huachuca_2_F,tucson_2_F,91.67361125
huachuca_3_F,tucson_2_F,100.280495
huachuca_4_F,tucson_2_F,68.12089649
organ_pipe,tucson_2_F,189.3498881
rincon,tucson_2_F,3.969846966
big_hatchet,tucson_2_F,227.9758326
silver_city_2_F,tucson_2_F,248.7658688
peloncillo_1_F,tucson_2_F,173.9109993
silver_city_1_F,tucson_2_F,242.2057235
silver_city_3_F,tucson_2_F,241.7254286
fort_huachuca,tucson_2_F,73.85405783
chiricahua_1_F,tucson_2_F,132.1413916
chiricahua_2_F,tucson_2_F,148.9004081
