"id","decimal","hex","tagsite","tagdate","genus_species","sex","reproductive_status","age","contact_name","contact_email"
"*989001000315501",989.001000315501,"3DD.003B9F9A6D","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315515",989.001000315515,"3DD.003B9F9A7B","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315539",989.001000315539,"3DD.003B9F9A93","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315516",989.001000315516,"3DD.003B9F9A7C","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315506",989.001000315506,"3DD.003B9F9A72","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315585",989.001000315585,"3DD.003B9F9AC1","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315570",989.00100031557,"3DD.003B9F9AB2","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315573",989.001000315573,"3DD.003B9F9AB5","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315567",989.001000315567,"3DD.003B9F9AAF","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315577",989.001000315577,"3DD.003B9F9AB9","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315572",989.001000315572,"3DD.003B9F9AB4","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315514",989.001000315514,"3DD.003B9F9A7A","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315526",989.001000315526,"3DD.003B9F9A86","carmen","4/30/2013","Leptonycteris yerbabuenae","female","post-lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315496",989.001000315496,"3DD.003B9F9A68","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315498",989.001000315498,"3DD.003B9F9A6A","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315500",989.0010003155,"3DD.003B9F9A6C","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315503",989.001000315503,"3DD.003B9F9A6F","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315510",989.00100031551,"3DD.003B9F9A76","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315513",989.001000315513,"3DD.003B9F9A79","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315518",989.001000315518,"3DD.003B9F9A7E","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315521",989.001000315521,"3DD.003B9F9A81","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315525",989.001000315525,"3DD.003B9F9A85","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315527",989.001000315527,"3DD.003B9F9A87","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315531",989.001000315531,"3DD.003B9F9A8B","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315534",989.001000315534,"3DD.003B9F9A8E","carmen","4/30/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315537",989.001000315537,"3DD.003B9F9A91","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315547",989.001000315547,"3DD.003B9F9A9B","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315548",989.001000315548,"3DD.003B9F9A9C","carmen","4/30/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315552",989.001000315552,"3DD.003B9F9AA0","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315556",989.001000315556,"3DD.003B9F9AA4","carmen","4/30/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315562",989.001000315562,"3DD.003B9F9AAA","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315564",989.001000315564,"3DD.003B9F9AAC","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315566",989.001000315566,"3DD.003B9F9AAE","carmen","4/30/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315568",989.001000315568,"3DD.003B9F9AB0","carmen","4/30/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315578",989.001000315578,"3DD.003B9F9ABA","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315580",989.00100031558,"3DD.003B9F9ABC","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315581",989.001000315581,"3DD.003B9F9ABD","carmen","4/30/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315582",989.001000315582,"3DD.003B9F9ABE","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315587",989.001000315587,"3DD.003B9F9AC3","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315590",989.00100031559,"3DD.003B9F9AC6","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315593",989.001000315593,"3DD.003B9F9AC9","carmen","4/30/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312374",989.001000312374,"3DD.003B9F8E36","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315508",989.001000315508,"3DD.003B9F9A74","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312309",989.001000312309,"3DD.003B9F8DF5","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315551",989.001000315551,"3DD.003B9F9A9F","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312299",989.001000312299,"3DD.003B9F8DEB","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312338",989.001000312338,"3DD.003B9F8E12","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312304",989.001000312304,"3DD.003B9F8DF0","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315563",989.001000315563,"3DD.003B9F9AAB","carmen","5/1/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312303",989.001000312303,"3DD.003B9F8DEF","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312381",989.001000312381,"3DD.003B9F8E3D","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315591",989.001000315591,"3DD.003B9F9AC7","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
