"origin","destination","n_movements","n_individuals","distance_km"
"coronado","big_hatchet",1,1,178.9
"gitana","navachiste",9,9,188.7
"navachiste","gitana",1,1,188.7
"chivato","navachiste",30,27,189.5
"navachiste","chivato",7,6,189.5
"big_hatchet","fort_huachuca",1,1,192.6
"organ_pipe","rincon",2,2,193.1
"mariana","coronado",2,2,201.6
"carmen","navachiste",3,2,216.5
"navachiste","carmen",1,1,216.5
"big_hatchet","rincon",3,3,224
"fort_huachuca","organ_pipe",1,1,226.3
"organ_pipe","fort_huachuca",1,1,226.3
"huachuca_5_F","organ_pipe",1,1,242.3
"carmen","gitana",4,4,244.2
"gitana","carmen",3,3,244.2
"carmen","chivato",4,4,244.6
"chivato","carmen",8,8,244.6
"pinacate","rincon",2,2,268.5
"rincon","pinacate",1,1,268.5
"mariana","rincon",1,1,284.8
"pinacate","fort_huachuca",1,1,288.2
"mariana","big_hatchet",1,1,321.8
"carmen","fort_huachuca",2,1,617
"fort_huachuca","carmen",1,1,617
"don_panchito","navachiste",11,11,776.9
"navachiste","don_panchito",2,2,776.9
"gitana","atoyac",1,1,813
"atoyac","navachiste",1,1,835.7
"mariana","don_panchito",1,1,1254.7
"mariana","atoyac",1,1,1293.4
"peloncillo_1_F","don_panchito",1,1,1406
"don_panchito","pinacate",2,2,1583.3
"pinacate","don_panchito",3,3,1583.3
"don_panchito","organ_pipe",6,6,1588.4
"organ_pipe","don_panchito",2,2,1588.4
"atoyac","pinacate",1,1,1631.5
"pinacate","atoyac",2,2,1631.5
